tau;ciclo_a2;ciclo_a5;ciclo_a6;ciclo_a7;ciclo_a8;ciclo_b1;ciclo_b3;ciclo_b4;ciclo_b5;ciclo_b6;ciclo_b7;ciclo_b8;mean_val;deviat
0.000000;0.083680;0.187060;0.307490;0.052600;0.349160;0.168520;0.271180;0.083690;0.290950;0.130810;0.257670;0.124640;0.192287;0.095814
0.025000;0.129530;0.087630;0.346280;0.213790;0.299880;0.186100;0.261740;0.102730;0.295750;0.157330;0.238710;0.129540;0.204084;0.081586
0.050000;0.170980;0.032460;0.376140;0.256300;0.270570;0.194870;0.254350;0.113790;0.308980;0.165310;0.223130;0.138550;0.208786;0.088959
0.075000;0.207780;0.144640;0.367570;0.299370;0.251980;0.213500;0.242260;0.123410;0.336220;0.170930;0.243150;0.148990;0.229150;0.073758
0.100000;0.247530;0.177770;0.371920;0.303430;0.275630;0.220310;0.238400;0.132730;0.358410;0.183150;0.275090;0.164200;0.245714;0.072088
0.125000;0.285000;0.054210;0.359220;0.236040;0.267490;0.236990;0.248180;0.146240;0.369480;0.199810;0.287200;0.181620;0.239290;0.083867
0.150000;0.325770;0.117360;0.326860;0.201490;0.242180;0.254690;0.263490;0.154710;0.388960;0.226580;0.290720;0.210350;0.250263;0.073046
0.175000;0.351480;0.097480;0.342350;0.197230;0.288380;0.266900;0.277050;0.167440;0.411810;0.235280;0.304350;0.235520;0.264606;0.082251
0.200000;0.376440;0.029420;0.345810;0.262840;0.357910;0.318360;0.303210;0.187090;0.452400;0.263840;0.305590;0.263500;0.288867;0.101405
0.225000;0.406300;0.050530;0.374910;0.330690;0.318670;0.364520;0.322150;0.195450;0.476810;0.328640;0.322620;0.296780;0.315673;0.102338
0.250000;0.432170;0.136220;0.350390;0.354300;0.233700;0.406610;0.342190;0.231570;0.517320;0.388520;0.404490;0.317940;0.342952;0.098391
0.275000;0.463980;0.261370;0.339880;0.361560;0.234570;0.446930;0.344740;0.259010;0.537460;0.449700;0.464220;0.357790;0.376767;0.092059
0.300000;0.485270;0.212040;0.345620;0.395800;0.288460;0.504230;0.336440;0.282950;0.564730;0.486170;0.506520;0.427270;0.402958;0.105343
0.325000;0.506000;0.196350;0.338970;0.448460;0.369540;0.541440;0.341900;0.333320;0.584570;0.521560;0.563380;0.472100;0.434799;0.113189
0.350000;0.517200;0.272020;0.346370;0.470970;0.414200;0.566160;0.360720;0.373960;0.597500;0.545590;0.604800;0.519350;0.465737;0.105117
0.375000;0.534340;0.378250;0.373090;0.487060;0.451480;0.597400;0.424770;0.397220;0.610650;0.564320;0.643770;0.544870;0.500602;0.091013
0.400000;0.568470;0.373290;0.440080;0.499340;0.446370;0.659130;0.476150;0.428550;0.633640;0.585110;0.685050;0.551300;0.528873;0.095822
0.425000;0.593100;0.357720;0.494680;0.539400;0.457170;0.677140;0.513860;0.478600;0.642140;0.637980;0.709530;0.555080;0.554700;0.097736
0.450000;0.620850;0.467270;0.494520;0.561160;0.491980;0.683100;0.549850;0.549380;0.652980;0.676090;0.725410;0.571820;0.587034;0.080332
0.475000;0.638610;0.616450;0.517190;0.617130;0.524660;0.714810;0.582150;0.623980;0.672540;0.709210;0.760160;0.634980;0.634322;0.069875
0.500000;0.673570;0.616860;0.538130;0.650820;0.534030;0.733820;0.616420;0.661690;0.696370;0.758200;0.761790;0.705730;0.662286;0.072777
0.525000;0.697110;0.576140;0.575080;0.678160;0.533570;0.773840;0.651490;0.682940;0.707320;0.814350;0.757230;0.753890;0.683427;0.083287
0.550000;0.746420;0.556580;0.580890;0.675220;0.524230;0.816380;0.682110;0.718100;0.720760;0.850060;0.783310;0.797900;0.704330;0.100773
