index,Fecha,DMY,GDD,Rainfall,Ha
1,2021-01-12,2.3499999999999996,399.0,15.0,32.0
2,2021-01-19,0.59,269.0,55.75,17.0
4,2021-02-12,0.39,122.0,0.0,18.0
5,2021-02-19,0.71,246.0,35.5,15.0
6,2021-02-26,0.8599999999999999,245.0,43.25,24.0
7,2021-03-05,0.35000000000000003,257.0,18.5,12.0
11,2021-05-13,2.4699999999999998,541.0,157.25,40.0
13,2021-06-12,0.59,254.0,65.0,17.0
14,2021-06-25,0.71,329.0,68.0,16.0
15,2021-07-12,0.94,180.0,3.75,17.0
16,2021-08-20,1.18,369.0,15.0,12.0
17,2021-09-05,1.29,432.0,29.5,22.0
19,2021-10-01,1.29,269.0,13.5,38.0
20,2021-10-15,1.18,314.0,25.5,34.0
21,2021-10-29,1.7599999999999998,366.0,24.0,40.0
22,2021-11-12,2.0,420.0,28.0,48.0
23,2021-11-24,2.04,434.0,81.25,40.0
25,2021-12-21,2.12,485.0,45.25,46.0
32,2022-12-14,1.33,462.0,65.0,39.0
33,2023-04-20,2.24,448.0,107.5,37.0
34,2023-06-01,1.27,409.0,77.0,37.0
36,2023-07-24,0.6,432.0,16.5,25.0
39,2023-12-04,3.23,484.0,167.5,60.0
40,2024-01-08,3.04,571.0,226.25,59.0
42,2024-03-07,1.75,440.0,265.5,47.0
43,2024-04-02,0.67,463.0,90.25,38.0
